TIME,WE1_mV,AUX1_mV,WE2_mV,AUX2_mV,WE3_mV,AUX3_mV,O3_1,O3_2,O3_3
2018-07-13 10:00:00,0.5553861538,0.53,0.556045641,0.54075,0.5601287179,0.56312,1143.9247091278,1186.5762164202,1049.4418680162
2018-07-13 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-14 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
