TIME,WE1_mV,AUX1_mV,WE2_mV,AUX2_mV,WE3_mV,AUX3_mV,O3_1,O3_2,O3_3
2018-07-21 09:00:00,0.2275638889,0.22775,0.5685425,0.53087,0.6138493056,0.63125,38.9260301544,1246.0656323729,1126.9960710114
2018-07-21 10:00:00,0.2267788467,0.22675,0.5697586357,0.53787,0.6153603657,0.63125,36.3121625705,1250.4130110972,1131.4820454818
2018-07-21 11:00:00,0.2268282841,0.22775,0.5609509986,0.59662,0.6129457665,0.6135,36.476768817,1218.9279280529,1124.3136807159
2018-07-21 12:00:00,0.2266732208,0.22625,0.5570876934,0.57863,0.6125111674,0.6215,35.9604718418,1205.117585578,1123.0234602376
2018-07-21 13:00:00,0.2280946132,0.22825,0.5565694374,0.54075,0.6113990436,0.59375,40.6931238694,1203.2649510692,1119.7218319639
2018-07-21 14:00:00,0.22993173,0.22662,0.553491744,0.54838,0.6090328551,0.58875,46.8099669166,1192.2629728409,1112.6971869031
2018-07-21 15:00:00,0.2271241491,0.2275,0.5551446414,0.55725,0.6110070886,0.62325,37.4618774944,1198.1716642247,1118.5582117604
2018-07-21 16:00:00,0.2274156118,0.228,0.5587780591,0.56825,0.6131542757,0.62913,38.432328489,1211.1602168861,1124.9326942625
2018-07-21 17:00:00,0.2302142335,0.22737,0.5602416596,0.58213,0.6150283685,0.58737,47.7505874193,1216.3922200412,1130.4964255987
2018-07-21 18:00:00,0.2337221941,0.22762,0.5599026301,0.53612,0.6144669902,0.59337,59.4306533013,1215.1802748926,1128.8298281822
2018-07-21 19:00:00,0.2311823347,0.22925,0.5593050352,0.53487,0.6157840928,0.61688,50.9739664118,1213.0440235996,1132.7399895708
2018-07-21 20:00:00,0.2300753446,0.228,0.5593261322,0.57825,0.6155762447,0.58937,47.2881445504,1213.1194402236,1132.1229384954
2018-07-21 21:00:00,0.2296236006,0.22887,0.559616526,0.58225,0.6163071167,0.63162,45.7840227777,1214.1575249149,1134.2927218984
2018-07-21 22:00:00,0.2292097328,0.22812,0.5602440225,0.56937,0.6155889733,0.60125,44.4060132729,1216.4006667031,1132.1607265062
2018-07-21 23:00:00,0.2287881716,0.22925,0.5612227286,0.53025,0.6168131646,0.61375,43.0023879454,1219.8992941708,1135.7950562935
2018-07-22 00:00:00,0.2284047398,0.22912,0.5597306048,0.58113,0.6172143319,0.5895,41.7257178197,1214.56532774,1136.9860258308
2018-07-22 01:00:00,0.2280973699,0.22937,0.5613257525,0.551,0.6161061322,0.63262,40.7023024823,1220.2675786849,1133.6960471206
2018-07-22 02:00:00,0.2282626442,0.22787,0.5607322504,0.5845,0.6157576231,0.61875,41.2525977889,1218.145958217,1132.6614072102
2018-07-22 03:00:00,0.2281002532,0.2295,0.5612692124,0.5325,0.6178619972,0.61388,40.7119025621,1220.0654621325,1138.9087883811
2018-07-22 04:00:00,0.228048481,0.22837,0.5619591139,0.54387,0.6162861463,0.62713,40.5395225925,1222.5316862946,1134.2304656288
2018-07-22 05:00:00,0.2278034318,0.22862,0.5606299297,0.54363,0.6157688326,0.59125,39.7236094679,1217.7801875903,1132.6946857125
2018-07-22 06:00:00,0.2281637693,0.2275,0.5602885232,0.553,0.6161440506,0.63275,40.9233852959,1216.5597455021,1133.8086178135
2018-07-22 07:00:00,0.2287284248,0.2275,0.5593097468,0.57025,0.6154050774,0.59262,42.8034555599,1213.0608666456,1131.6147836987
2018-07-22 08:00:00,0.2284483122,0.2285,0.5586626582,0.58263,0.6134241772,0.59288,41.8707960989,1210.7476879526,1125.7339671097
2018-07-22 09:00:00,0.2283085935,0.22912,0.5576973277,0.581,0.6127007876,0.6255,41.4055902803,1207.2968746245,1123.5863972113
2018-07-22 10:00:00,0.2284384669,0.22812,0.556199564,0.56712,0.6128740788,0.588,41.8380153386,1201.9427468162,1124.100856969
2018-07-22 11:00:00,0.2288261603,0.22787,0.5547362166,0.578,0.611009775,0.58613,43.1288748506,1196.7116486607,1118.5661869097
2018-07-22 12:00:00,0.2286806048,0.227,0.552453038,0.57712,0.6100340928,0.584,42.644234724,1188.5498604943,1115.6696210586
2018-07-22 13:00:00,0.2277166667,0.22837,0.5517886217,0.52487,0.6086300422,0.59,39.4347173102,1186.1747396141,1111.501332065
2018-07-22 14:00:00,0.2273432911,0.22775,0.5509173418,0.54025,0.6057038819,0.62275,38.1915303896,1183.060133596,1102.8142650584
2018-07-22 15:00:00,0.2258905626,0.22812,0.5481757525,0.57112,0.6017647257,0.614,33.3545418849,1173.2596427444,1091.1198569604
2018-07-22 16:00:00,0.2249702388,0.22537,0.5454620506,0.51763,0.601170632,0.61325,30.2902421212,1163.55884236,1089.356135454
2018-07-22 17:00:00,0.2252890858,0.2255,0.5478572152,0.57037,0.6045324051,0.60875,31.3518715773,1172.1209522767,1099.3364319168
2018-07-22 18:00:00,0.2254050633,0.22575,0.5513501828,0.54525,0.6083723066,0.61225,31.7380289339,1184.6074313329,1110.7361770402
2018-07-22 19:00:00,0.2265678481,0.22637,0.5551644726,0.5745,0.6109083966,0.62613,35.609624047,1198.2425558513,1118.2652189742
2018-07-22 20:00:00,0.2272035724,0.22587,0.5577587342,0.57812,0.611873038,0.62613,37.7263245709,1207.5163872782,1121.1290073794
2018-07-22 21:00:00,0.2275830942,0.22625,0.5572342053,0.58013,0.613268706,0.59525,38.9899760518,1205.6413288932,1125.2724105671
