"start_time","end_time","o3","flag_o3","o3std","flag_o3std","jd","day","time.dec","time","hour","min","date"
0,0.041667,32,0,0.9,0,0,2018-01-01,0,0.01,0,0,2018-01-01 00:00:00
0.041667,0.083333,32.8,0,1,0,0,2018-01-01,0.041667,60.01048,1,0,2018-01-01 01:00:00
0.083333,0.125,35.3,0,0.6,0,0,2018-01-01,0.083333,120.00952,2,0,2018-01-01 02:00:00
0.125,0.166667,37.5,0.39,6.7,0.39,0,2018-01-01,0.125,180.01,3,0,2018-01-01 03:00:00
0.166667,0.208333,36.2,0,0.4,0,0,2018-01-01,0.166667,240.01048,4,0,2018-01-01 04:00:00
0.208333,0.25,35.6,0,1.5,0,0,2018-01-01,0.208333,300.00952,5,0,2018-01-01 05:00:00
0.25,0.291667,35.1,0,0.9,0,0,2018-01-01,0.25,360.01,6,0,2018-01-01 06:00:00
0.291667,0.333333,33.5,0,0.4,0,0,2018-01-01,0.291667,420.01048,7,0,2018-01-01 07:00:00
0.333333,0.375,33.4,0,0.4,0,0,2018-01-01,0.333333,480.00952,8,0,2018-01-01 08:00:00
0.375,0.416667,27.5,0,1.6,0,0,2018-01-01,0.375,540.01,9,0,2018-01-01 09:00:00
0.416667,0.458333,34.1,0,3.2,0,0,2018-01-01,0.416667,600.01048,10,0,2018-01-01 10:00:00
0.458333,0.5,41.3,0,0.6,0,0,2018-01-01,0.458333,660.00952,11,0,2018-01-01 11:00:00
0.5,0.541667,41.8,0,0.5,0,0,2018-01-01,0.5,720.01,12,0,2018-01-01 12:00:00
0.541667,0.583333,38.2,0,1.1,0,0,2018-01-01,0.541667,780.01048,13,0,2018-01-01 13:00:00
0.583333,0.625,39.2,0,1.1,0,0,2018-01-01,0.583333,840.00952,14,0,2018-01-01 14:00:00
0.625,0.666667,42.1,0,1,0,0,2018-01-01,0.625,900.01,15,0,2018-01-01 15:00:00
0.666667,0.708333,43.6,0,1,0,0,2018-01-01,0.666667,960.01048,16,0,2018-01-01 16:00:00
0.708333,0.75,42,0,4.6,0,0,2018-01-01,0.708333,1020.00952,17,0,2018-01-01 17:00:00
0.75,0.791667,44.2,0,2.2,0,0,2018-01-01,0.75,1080.01,18,0,2018-01-01 18:00:00
0.791667,0.833333,41.8,0,4.3,0,0,2018-01-01,0.791667,1140.01048,19,0,2018-01-01 19:00:00
0.833333,0.875,44.2,0,1.6,0,0,2018-01-01,0.833333,1200.00952,20,0,2018-01-01 20:00:00
0.875,0.916667,44.4,0,0.8,0,0,2018-01-01,0.875,1260.01,21,0,2018-01-01 21:00:00
