"starttime","endtime","O3","O3.1","flag","jd","day","time.dec","time","hour","min","date"
205.958333,206,25.3,50.44,0,205,2018-07-25,0.95833300000001,1380.00952000001,23,0,2018-07-25 23:00:00
206,206.041667,24.9,49.74,0,206,2018-07-26,0,0.01,0,0,2018-07-26 00:00:00
206.041667,206.083333,24.1,48.18,0,206,2018-07-26,0.0416669999999897,60.0104799999851,1,0,2018-07-26 01:00:00
206.083333,206.125,23.7,47.36,0,206,2018-07-26,0.0833330000000103,120.009520000015,2,0,2018-07-26 02:00:00
206.125,206.166667,23.8,47.53,0,206,2018-07-26,0.125,180.01,3,0,2018-07-26 03:00:00
206.166667,206.208333,23.8,47.42,0,206,2018-07-26,0.16666699999999,240.010479999985,4,0,2018-07-26 04:00:00
206.208333,206.25,23.9,47.62,0,206,2018-07-26,0.20833300000001,300.009520000015,5,0,2018-07-26 05:00:00
206.25,206.291667,23.2,46.29,0,206,2018-07-26,0.25,360.01,6,0,2018-07-26 06:00:00
206.291667,206.333333,24.1,48.07,0,206,2018-07-26,0.29166699999999,420.010479999985,7,0,2018-07-26 07:00:00
206.333333,206.375,24.3,48.58,0,206,2018-07-26,0.33333300000001,480.009520000015,8,0,2018-07-26 08:00:00
206.375,206.416667,24.7,49.38,0,206,2018-07-26,0.375,540.01,9,0,2018-07-26 09:00:00
206.416667,206.458333,24.7,49.38,0,206,2018-07-26,0.41666699999999,600.010479999985,10,0,2018-07-26 10:00:00
206.458333,206.5,23.7,47.23,0,206,2018-07-26,0.45833300000001,660.009520000015,11,0,2018-07-26 11:00:00
206.5,206.541667,23.5,46.88,0,206,2018-07-26,0.5,720.01,12,0,2018-07-26 12:00:00
206.541667,206.583333,24.7,49.28,0,206,2018-07-26,0.54166699999999,780.010479999985,13,0,2018-07-26 13:00:00
206.583333,206.625,24.8,49.53,0,206,2018-07-26,0.58333300000001,840.009520000015,14,0,2018-07-26 14:00:00
206.625,206.666667,23.7,47.38,0,206,2018-07-26,0.625,900.01,15,0,2018-07-26 15:00:00
206.666667,206.708333,23.3,46.46,0,206,2018-07-26,0.66666699999999,960.010479999985,16,0,2018-07-26 16:00:00
206.708333,206.75,23.8,47.42,0,206,2018-07-26,0.70833300000001,1020.00952000001,17,0,2018-07-26 17:00:00
206.75,206.791667,24.5,48.93,0,206,2018-07-26,0.75,1080.01,18,0,2018-07-26 18:00:00
206.791667,206.833333,24.2,48.24,0,206,2018-07-26,0.79166699999999,1140.01047999999,19,0,2018-07-26 19:00:00
206.833333,206.875,25.5,50.81,0,206,2018-07-26,0.83333300000001,1200.00952000001,20,0,2018-07-26 20:00:00
206.875,206.916667,24.2,48.33,0,206,2018-07-26,0.875,1260.01,21,0,2018-07-26 21:00:00
